loss,prediction,target,cell_line_id,cancer_type,drug_id
0.8133689,1,0,ACH-000617,OV,24785538
0.00010918975,0,0,ACH-000853,,11609586
0.0031488382,0,0,ACH-000572,SKCM,46224516
0.02806546,0,0,ACH-000505,SARC,24978538
1.6569955e-05,0,0,ACH-000504,GBM,11433190
0.38554078,1,1,ACH-000038,CLL,6445533
0.0037997207,0,0,ACH-000932,STAD,176870
0.0010696887,1,1,ACH-000911,STAD,11713159
0.07167477,0,0,ACH-000616,STAD,10127622
0.00021872512,0,0,ACH-000243,PAAD,6852167
0.00011920219,0,0,ACH-000958,COAD-READ,11282283
0.0061733513,0,0,ACH-000660,DLBC,9967941
1.285878,1,0,ACH-000969,COAD-READ,6450816
0.00025209587,0,0,ACH-000483,LIHC,44450571
0.037157834,1,1,ACH-000065,LAML,25257557
1.585471e-05,0,0,ACH-000327,LUAD,11485656
0.009254062,1,1,ACH-000932,STAD,9826308
0.0030914394,0,0,ACH-000196,BRCA,160355
0.62145114,1,1,ACH-000890,SCLC,560326
0.00035923228,0,0,ACH-000665,LUSC,10200390
0.6971747,1,0,ACH-000945,LUAD,6450551
1.2017136,0,1,ACH-000347,PAAD,25167777
0.22547372,1,1,ACH-000091,OV,11178236
1.001353e-05,0,0,ACH-000886,LUAD,66577006
0.0023476917,0,0,ACH-000880,STAD,11282283
0.0001905975,0,0,ACH-000706,LUAD,9931953
0.00010883216,0,0,ACH-000751,LAML,82146
0.000915704,0,0,ACH-000968,SKCM,6852167
0.00031811898,0,0,ACH-000965,UCEC,46883536
5.4836123e-06,0,0,ACH-000047,STAD,66577006
0.0034482563,1,1,ACH-000536,BRCA,25262965
0.00017283854,0,0,ACH-000260,NB,11609586
2.7894584e-05,0,0,ACH-000018,BLCA,16725726
0.025576208,1,1,ACH-000488,ESCA,11713159
0.00030727434,0,0,ACH-000555,KIRC,2375
0.00022194306,0,0,ACH-000691,BRCA,11624601
0.016094059,0,0,ACH-000308,OV,10027278
3.5762723e-06,0,0,ACH-000514,SCLC,176158
0.013470354,0,0,ACH-000429,KIRC,10127622
0.0044660824,1,1,ACH-000934,BRCA,31703
0.0039688167,0,0,ACH-000522,BLCA,9810884
0.03567963,1,1,ACH-000019,BRCA,25222038
0.0020479436,0,0,ACH-000756,LGG,16722836
0.009679998,0,0,ACH-000401,SKCM,8249
2.8252203e-05,0,0,ACH-000480,LIHC,25195352
0.056109738,0,0,ACH-000361,LIHC,85668777
7.152555e-07,0,0,ACH-000323,GBM,5394
0.9951352,0,1,ACH-000348,SKCM,24772860
7.4026226e-05,0,0,ACH-000974,UCEC,11327430
0.3870658,1,1,ACH-000504,GBM,3062316
0.594262,0,0,ACH-000999,COAD-READ,24894414
0.037173342,0,0,ACH-000688,OV,6918454
0.029187769,0,0,ACH-000910,BRCA,85668777
0.08651321,0,0,ACH-000508,SCLC,3062316
0.016553206,1,1,ACH-000528,LUAD,60750
0.0003337303,0,0,ACH-000530,SCLC,704473
0.04722191,0,0,ACH-000379,LUAD,24894414
2.8707325,1,0,ACH-000843,LUSC,9903786
0.0009921634,0,0,ACH-000054,SARC,9952773
2.3841855e-07,0,0,ACH-000888,LUAD,9858940
0.026524872,0,0,ACH-000441,SKCM,5291
0.40507647,0,0,ACH-000473,BLCA,46191454
0.0002934502,0,0,ACH-000493,LIHC,444795
1.1553744,1,0,ACH-000189,KIRC,46930998
0.00019369634,0,0,ACH-000273,LGG,11152667
0.24645402,0,0,ACH-000720,BLCA,6450816
8.821448e-06,1,1,ACH-000174,THCA,300471
0.1160831,0,0,ACH-000198,LAML,25195352
0.0620568,0,0,ACH-000457,KIRC,24894414
1.3113013e-06,0,0,ACH-000067,LGG,3385
0.08324789,1,1,ACH-000204,MM,44551660
8.332382e-05,0,0,ACH-000322,SKCM,49806720
0.03223451,1,1,ACH-000657,UNABLE TO CLASSIFY,11647372
0.6765905,0,0,ACH-000118,PAAD,23725625
0.49697605,1,1,ACH-000484,KIRC,159324
8.237023e-05,0,0,ACH-000803,SCLC,11667893
0.023499204,1,1,ACH-000772,SARC,9826308
-0.0,0,0,ACH-000075,GBM,54676905
0.84777653,1,0,ACH-000355,SCLC,5280757
0.00026973424,0,0,ACH-000852,LUAD,644241
0.00097298954,0,0,ACH-000532,COAD-READ,17755052
0.00071404706,0,0,ACH-000981,ALL,20635522
8.6899796e-05,0,0,ACH-000776,MB,78243717
0.2514277,0,0,ACH-000881,SKCM,11634725
0.02972357,0,0,ACH-000625,LIHC,123631
0.077594236,0,0,ACH-000052,SARC,10196499
0.0009215399,0,0,ACH-000938,ALL,9931953
1.2755313e-05,0,0,ACH-000775,,176167
0.05203653,0,0,ACH-000781,LUAD,9956222
0.003633803,0,0,ACH-000343,LUAD,8249
7.3595576,0,1,ACH-000151,DLBC,447912
8.004061,0,1,ACH-000078,NB,16095342
0.67234486,1,1,ACH-000896,BLCA,560326
0.0006131438,0,0,ACH-000386,LAML,10390396
0.0010562324,0,0,ACH-000617,OV,4261
0.018182505,0,0,ACH-000716,THCA,44182295
2.0503787e-05,1,1,ACH-000697,DLBC,387447
5.6861216e-05,0,0,ACH-000420,LIHC,10451420
0.100481,1,1,ACH-000806,,60750
0.00076205295,0,0,ACH-000009,COAD-READ,11152667
5.6503606e-05,0,0,ACH-000830,SCLC,10302451
0.0012459143,0,0,ACH-000118,PAAD,44462760
0.080418125,0,0,ACH-000081,LAML,11667893
2.0265559e-06,0,0,ACH-000118,PAAD,444795
0.00033015522,0,0,ACH-000467,COAD-READ,42642645
0.008030982,1,1,ACH-000245,DLBC,46907787
0.5031914,1,1,ACH-000394,SCLC,5208
0.007949973,1,1,ACH-000914,DLBC,9884685
2.6702524e-05,0,0,ACH-000696,OV,156422
0.00019977482,0,0,ACH-000579,SKCM,36462
0.0010974343,1,1,ACH-000849,BRCA,25262965
0.18395661,0,0,ACH-000326,LCML,25102847
4.398726e-05,0,0,ACH-000906,OV,5327091
2.145765e-06,0,0,ACH-000859,BRCA,44137675
6.556296e-05,0,0,ACH-000350,COAD-READ,16095342
0.00046599974,0,0,ACH-000176,LUSC,11338033
0.009611167,0,0,ACH-000527,OV,9911830
0.00015925094,0,0,ACH-000814,SKCM,10451420
0.66965485,0,0,ACH-000480,LIHC,24772860
0.00012373159,0,0,ACH-000650,SKCM,65110
0.023290403,0,0,ACH-000242,BLCA,24826799
0.06199966,0,0,ACH-000793,STAD,44182295
5.6384404e-05,0,0,ACH-000585,LUSC,9910224
0.13680147,0,0,ACH-000473,BLCA,5460769
1.0251946e-05,0,0,ACH-000677,LUAD,2375
0.6167054,0,0,ACH-000871,SCLC,11676786
0.18445109,0,0,ACH-000535,PAAD,84691
0.00012253964,1,1,ACH-000913,UCEC,6710780
2.3722367e-05,0,0,ACH-000754,,10077147
0.27979064,0,0,ACH-000561,ESCA,44224160
3.7192607e-05,0,0,ACH-000770,LAML,25124816
0.04111454,0,0,ACH-000469,GBM,216326
